eta,beta,epocas,convergencia,mse_final
0.1,0.0,9371,True,0.004998712098748984
0.1,0.1,8431,True,0.0049989359141779394
0.1,0.2,7488,True,0.004998420586068957
0.1,0.3,6543,True,0.004998630507105389
0.1,0.4,5598,True,0.00499996727138286
0.1,0.5,4656,True,0.004999181794402068
0.1,0.6,3717,True,0.004999462199312653
0.1,0.7,2783,True,0.0049950469927277745
0.1,0.8,1852,True,0.004998963936285405
0.1,0.9,929,True,0.004992475682366106
0.1,1.0,15000,False,0.16734671511003818
0.2,0.0,4911,True,0.0049974340221582815
0.2,0.1,4432,True,0.004998173344935785
0.2,0.2,3940,True,0.004999754467544224
0.2,0.3,3439,True,0.004996957243261456
0.2,0.4,2933,True,0.004994906013611501
0.2,0.5,2427,True,0.0049986835589391895
0.2,0.6,1927,True,0.00499844409707807
0.2,0.7,1435,True,0.004991819224164454
0.2,0.8,950,True,0.004998341474799394
0.2,0.9,476,True,0.004991113786521005
0.2,1.0,15000,False,0.16699540597071805
0.3,0.0,3866,True,0.0049963902797386505
0.3,0.1,3827,True,0.004999279554395098
0.3,0.2,4582,True,0.004997225441721781
0.3,0.3,4053,True,0.004996681889785348
0.3,0.4,2576,True,0.004993680225230085
0.3,0.5,1946,True,0.004991903891266676
0.3,0.6,1462,True,0.004991218011814301
0.3,0.7,1049,True,0.004990160440908329
0.3,0.8,677,True,0.0049911607718837086
0.3,0.9,334,True,0.004979920963936198
0.3,1.0,15000,False,0.17172811296371285
0.4,0.0,4293,True,0.004996012192728916
0.4,0.1,3845,True,0.004998008509146793
0.4,0.2,3431,True,0.004995082451981744
0.4,0.3,3036,True,0.00499953972221126
0.4,0.4,2650,True,0.004999890048500302
0.4,0.5,2263,True,0.004996158753760251
0.4,0.6,1866,True,0.00499590250660535
0.4,0.7,1452,True,0.0049949411655029925
0.4,0.8,1016,True,0.004984563007908985
0.4,0.9,310,True,0.004968775730929726
0.4,1.0,15000,False,0.25333996902464695
0.5,0.0,3137,True,0.0049995227276291914
0.5,0.1,2814,True,0.004996853352479503
0.5,0.2,2512,True,0.0049935686152558995
0.5,0.3,2222,True,0.004991047375000195
0.5,0.4,1936,True,0.004995917071446596
0.5,0.5,1649,True,0.004991947356395044
0.5,0.6,1355,True,0.004990653584737303
0.5,0.7,1051,True,0.004978051346577244
0.5,0.8,734,True,0.0049607617842608795
0.5,0.9,394,True,0.004939413920963413
0.5,1.0,15000,False,0.2521130881881965
0.6,0.0,2451,True,0.004997709800455573
0.6,0.1,2202,True,0.004990875371465696
0.6,0.2,1966,True,0.004997277156711929
0.6,0.3,1739,True,0.004991671319898151
0.6,0.4,1514,True,0.004994828920218641
0.6,0.5,1288,True,0.004985459289569559
0.6,0.6,1056,True,0.004989884088485604
0.6,0.7,817,True,0.004981042064741448
0.6,0.8,570,True,0.004995697985486709
0.6,0.9,322,True,0.004944814104132004
0.6,1.0,15000,False,0.25314224986680034
0.7,0.0,2002,True,0.004996714638709257
0.7,0.1,1800,True,0.004998787680322905
0.7,0.2,1609,True,0.004990655381741042
0.7,0.3,1423,True,0.004988251789643426
0.7,0.4,1238,True,0.004995750260324894
0.7,0.5,1052,True,0.004991549482618554
0.7,0.6,862,True,0.0049789938225168725
0.7,0.7,665,True,0.004998444489618196
0.7,0.8,464,True,0.004945121269944883
0.7,0.9,269,True,0.0049516115798094226
0.7,1.0,15000,False,0.2542763743332928
0.8,0.0,1688,True,0.004991456229263238
0.8,0.1,1519,True,0.00499593568686629
0.8,0.2,1358,True,0.004995474654625624
0.8,0.3,1201,True,0.004994032643878943
0.8,0.4,1045,True,0.0049904726163979935
0.8,0.5,887,True,0.0049965065413026324
0.8,0.6,726,True,0.004989045726413186
0.8,0.7,560,True,0.004984764143958462
0.8,0.8,389,True,0.004997928025729084
0.8,0.9,225,True,0.00495330935747682
0.8,1.0,15000,False,0.252918196846201
0.9,0.0,1457,True,0.004987417969157185
0.9,0.1,1312,True,0.004995367073184928
0.9,0.2,1174,True,0.004984751016540479
0.9,0.3,1038,True,0.0049895470736600524
0.9,0.4,903,True,0.004984201903630111
0.9,0.5,766,True,0.0049921767011215
0.9,0.6,627,True,0.004968754906885611
0.9,0.7,483,True,0.004977444160899413
0.9,0.8,336,True,0.004931352774951846
0.9,0.9,192,True,0.00497712847405636
0.9,1.0,15000,False,0.25000289655605223
1.0,0.0,1280,True,0.004993321328310663
1.0,0.1,1154,True,0.004991467452441588
1.0,0.2,1033,True,0.004980867795675356
1.0,0.3,913,True,0.004993865329333611
1.0,0.4,794,True,0.004990842253657236
1.0,0.5,674,True,0.00497537561015327
1.0,0.6,551,True,0.004968723344031079
1.0,0.7,424,True,0.00499087589085024
1.0,0.8,295,True,0.004934699811828209
1.0,0.9,168,True,0.004894221547766815
1.0,1.0,15000,False,0.2506129494805316
1.1,0.0,1141,True,0.0049958359543361966
1.1,0.1,1030,True,0.004981165623755548
1.1,0.2,921,True,0.004998758162406283
1.1,0.3,815,True,0.004987803685144453
1.1,0.4,709,True,0.00497432607674953
1.1,0.5,601,True,0.004981347363204363
1.1,0.6,491,True,0.004980744428174489
1.1,0.7,378,True,0.004986562627402736
1.1,0.8,263,True,0.004932365660217415
1.1,0.9,149,True,0.00492743490476736
1.1,1.0,15000,False,0.2520550591925999
1.2,0.0,1029,True,0.004999712141170939
1.2,0.1,929,True,0.004994024561841933
1.2,0.2,832,True,0.004985770853273584
1.2,0.3,736,True,0.004982090344853682
1.2,0.4,640,True,0.00497418685270291
1.2,0.5,542,True,0.004994840691915482
1.2,0.6,443,True,0.004978471487973845
1.2,0.7,341,True,0.004983783084731092
1.2,0.8,237,True,0.004963031702553095
1.2,0.9,134,True,0.004959176858485055
1.2,1.0,15000,False,0.25106824862631144
1.3,0.0,938,True,0.004983780218334614
1.3,0.1,847,True,0.004984230896656162
1.3,0.2,758,True,0.004995370170028005
1.3,0.3,671,True,0.004978799415047492
1.3,0.4,583,True,0.004984599741323183
1.3,0.5,494,True,0.004989004804544207
1.3,0.6,404,True,0.0049556940063155705
1.3,0.7,311,True,0.004957577624535291
1.3,0.8,216,True,0.0049639418572555456
1.3,0.9,122,True,0.004960929836493747
1.3,1.0,15000,False,0.2559631392712177
1.4,0.0,861,True,0.004991595846440253
1.4,0.1,778,True,0.004987796499185601
1.4,0.2,697,True,0.004982422231984572
1.4,0.3,616,True,0.004998326360928166
1.4,0.4,536,True,0.004972588029740439
1.4,0.5,454,True,0.004980308700074855
1.4,0.6,371,True,0.004959237203767224
1.4,0.7,286,True,0.004931628356170882
1.4,0.8,199,True,0.004910905212429236
1.4,0.9,112,True,0.004996677095522676
1.4,1.0,15000,False,0.2548574117974578
1.5,0.0,796,True,0.004995592591580426
1.5,0.1,720,True,0.004980470003323846
1.5,0.2,645,True,0.004980290842177437
1.5,0.3,570,True,0.004998088378057403
1.5,0.4,496,True,0.004969318025547356
1.5,0.5,420,True,0.004978985271861323
1.5,0.6,343,True,0.004967884204087378
1.5,0.7,264,True,0.0049756561599517
1.5,0.8,184,True,0.004937726474187384
1.5,0.9,104,True,0.004930692239078948
1.5,1.0,15000,False,0.25074818069015997
1.6,0.0,741,True,0.004982871804168594
1.6,0.1,670,True,0.004982334903495885
1.6,0.2,600,True,0.00499268730307396
1.6,0.3,531,True,0.00498305140847744
1.6,0.4,461,True,0.004997738683081459
1.6,0.5,391,True,0.0049719245335683605
1.6,0.6,319,True,0.004978675058721267
1.6,0.7,246,True,0.004948797692318457
1.6,0.8,171,True,0.004988791877346983
1.6,0.9,97,True,0.004948162579348754
