eta,beta,epocas,convergencia,mse_final
0.1,0.0,9371,True,0.004998712098748984
0.2,0.0,4911,True,0.0049974340221582815
0.3,0.0,3866,True,0.0049963902797386505
0.4,0.0,4293,True,0.004996012192728916
0.5,0.0,3137,True,0.0049995227276291914
0.6,0.0,2451,True,0.004997709800455573
0.7,0.0,2002,True,0.004996714638709257
0.8,0.0,1688,True,0.004991456229263238
0.9,0.0,1457,True,0.004987417969157185
1.0,0.0,1280,True,0.004993321328310663
1.1,0.0,1141,True,0.0049958359543361966
1.2,0.0,1029,True,0.004999712141170939
1.3,0.0,938,True,0.004983780218334614
1.4,0.0,861,True,0.004991595846440253
1.5,0.0,796,True,0.004995592591580426
1.6,0.0,741,True,0.004982871804168594
1.7,0.0,693,True,0.004981712228542637
1.8,0.0,651,True,0.004983466534445872
1.9,0.0,614,True,0.004986643964184905
2.0,0.0,581,True,0.00499674710947819
